Ward Code,Ward,Local Authority,Total residents,Born in the UK,Resident in UK: Less than 2 years,Resident in UK: 2 years or more but less than 5 years,Resident in UK: 5 years or more ,Resident in UK: 5 years or more but less than 10 years,Resident in UK: 10 years or more
E05002702,Abbey,Cambridge,9907,7391,584,512,1420,643,777
E05002703,Arbury,Cambridge,9070,6420,527,568,1555,533,1022
E05002704,Castle,Cambridge,9785,6537,1055,884,1309,484,825
E05002705,Cherry Hinton,Cambridge,8780,6491,364,414,1511,713,798
E05002706,Coleridge,Cambridge,9386,6528,657,676,1525,566,959
E05002707,East Chesterton,Cambridge,9405,7013,439,519,1434,530,904
E05002708,King's Hedges,Cambridge,9142,6804,385,532,1421,649,772
E05002709,Market,Cambridge,7150,4811,761,642,936,337,599
E05002710,Newnham,Cambridge,7867,4895,1145,759,1068,369,699
E05002711,Petersfield,Cambridge,8333,5546,974,571,1242,452,790
E05002712,Queen Edith's,Cambridge,9127,6676,401,445,1605,554,1051
E05002713,Romsey,Cambridge,9252,6554,608,642,1448,559,889
E05002714,Trumpington,Cambridge,8034,5699,534,461,1340,491,849
E05002715,West Chesterton,Cambridge,8629,6121,608,516,1384,482,902
E05002716,Bottisham,East Cambridgeshire,4014,3668,46,68,232,58,174
E05002717,Burwell,East Cambridgeshire,6309,5864,70,60,315,74,241
E05002718,Cheveley,East Cambridgeshire,4102,3733,72,69,228,45,183
E05002719,Downham Villages,East Cambridgeshire,4424,4212,16,31,165,40,125
E05002720,Dullingham Villages,East Cambridgeshire,2253,1999,52,40,162,38,124
E05002721,Ely East,East Cambridgeshire,4030,3345,201,125,359,154,205
E05002722,Ely North,East Cambridgeshire,7318,6227,213,319,559,246,313
E05002723,Ely South,East Cambridgeshire,4453,3880,91,121,361,142,219
E05002724,Ely West,East Cambridgeshire,4455,3911,95,127,322,121,201
E05002725,Fordham Villages,East Cambridgeshire,3768,3436,93,57,182,45,137
E05002726,Haddenham,East Cambridgeshire,5929,5626,35,36,232,54,178
E05002727,Isleham,East Cambridgeshire,2378,2177,81,42,78,15,63
E05002728,Littleport East,East Cambridgeshire,5291,4737,111,136,307,122,185
E05002729,Littleport West,East Cambridgeshire,3447,3124,50,88,185,74,111
E05002730,Soham North,East Cambridgeshire,5170,4619,90,156,305,163,142
E05002731,Soham South,East Cambridgeshire,6529,5791,142,207,389,197,192
E05002732,Stretham,East Cambridgeshire,3971,3650,54,38,229,67,162
E05002733,Sutton,East Cambridgeshire,3952,3693,26,43,190,52,138
E05002734,The Swaffhams,East Cambridgeshire,2025,1884,20,13,108,20,88
E05002735,Bassenhally,Fenland,1548,1489,2,17,40,6,34
E05002736,"Benwick, Coates and Eastrea",Fenland,4450,4272,8,14,156,25,131
E05002737,Birch,Fenland,2512,2367,10,20,115,42,73
E05002738,Clarkson,Fenland,2331,1757,166,187,221,143,78
E05002739,Delph,Fenland,2002,1893,5,15,89,20,69
E05002740,Doddington,Fenland,2181,2081,12,8,80,17,63
E05002741,Elm and Christchurch,Fenland,4795,4574,35,41,145,42,103
E05002742,Hill,Fenland,5308,4344,246,324,394,259,135
E05002743,Kingsmoor,Fenland,1697,1629,1,9,58,16,42
E05002744,Kirkgate,Fenland,2300,2000,90,84,126,79,47
E05002745,Lattersey,Fenland,2460,2365,4,9,82,20,62
E05002746,Manea,Fenland,2088,1975,14,13,86,22,64
E05002747,March East,Fenland,7430,6847,95,121,367,185,182
E05002748,March North,Fenland,7835,7191,78,125,441,160,281
E05002749,March West,Fenland,7033,6691,43,38,261,68,193
E05002750,Medworth,Fenland,2585,1939,178,211,257,159,98
E05002751,Parson Drove and Wisbech St Mary,Fenland,4895,4701,20,27,147,26,121
E05002752,Peckover,Fenland,2371,2072,62,109,128,61,67
E05002753,Roman Bank,Fenland,6305,5981,49,51,224,63,161
E05002756,Slade Lode,Fenland,2577,2353,25,56,143,69,74
E05002754,St Andrews,Fenland,2506,2418,4,15,69,10,59
E05002755,St Marys,Fenland,2532,2411,9,14,98,19,79
E05002757,Staithe,Fenland,2404,2123,58,91,132,87,45
E05002758,The Mills,Fenland,2706,2542,16,36,112,51,61
E05002759,Waterlees,Fenland,5542,4424,273,412,433,307,126
E05002760,Wenneye,Fenland,2658,2524,10,19,105,38,67
E05002761,Wimblington,Fenland,2211,2090,15,14,92,27,65
E05008525,Alconbury and The Stukeleys,Huntingdonshire,3709,3008,303,161,237,73,164
E05002763,Brampton,Huntingdonshire,7288,6416,147,114,611,121,490
E05008526,Buckden,Huntingdonshire,3293,3058,37,26,172,44,128
E05008527,Earith,Huntingdonshire,6126,5793,28,25,280,44,236
E05008576,Ellington,Huntingdonshire,3175,2854,67,71,183,48,135
E05002767,Elton and Folksworth,Huntingdonshire,2667,2466,48,18,135,14,121
E05008577,Fenstanton,Huntingdonshire,3242,2948,41,38,215,69,146
E05002769,Godmanchester,Huntingdonshire,6711,6070,57,144,440,125,315
E05008528,Gransden and The Offords,Huntingdonshire,4507,4237,26,28,216,36,180
E05002771,Huntingdon East,Huntingdonshire,9532,8237,172,285,838,338,500
E05002772,Huntingdon North,Huntingdonshire,6726,5192,301,391,842,476,366
E05008529,Huntingdon West,Huntingdonshire,7474,5964,313,391,806,390,416
E05008578,Kimbolton and Staughton,Huntingdonshire,3353,3117,51,29,156,33,123
E05008579,Little Paxton,Huntingdonshire,3244,3078,25,37,104,23,81
E05008531,Ramsey,Huntingdonshire,8479,7923,49,73,434,158,276
E05002784,Sawtry,Huntingdonshire,6536,6126,65,50,295,40,255
E05008583,Somersham,Huntingdonshire,5935,5572,58,45,260,47,213
E05002777,St Ives East,Huntingdonshire,6999,6177,92,183,547,199,348
E05008580,St Ives South,Huntingdonshire,6515,5692,109,121,593,161,432
E05002779,St Ives West,Huntingdonshire,2870,2640,19,19,192,29,163
E05008581,St Neots Eaton Ford,Huntingdonshire,6815,6335,45,71,364,66,298
E05002781,St Neots Eaton Socon,Huntingdonshire,5704,5327,60,62,255,60,195
E05008533,St Neots Eynesbury,Huntingdonshire,10477,9767,87,129,494,168,326
E05008582,St Neots Priory Park,Huntingdonshire,8169,7339,159,129,542,161,381
E05002786,Stilton,Huntingdonshire,3091,2944,14,14,119,17,102
E05008535,The Hemingfords,Huntingdonshire,6036,5563,76,42,355,65,290
E05008584,Upwood and The Raveleys,Huntingdonshire,3440,3114,27,65,234,74,160
E05008537,Warboys and Bury,Huntingdonshire,6354,5942,59,76,277,61,216
E05002790,Yaxley and Farcet,Huntingdonshire,11041,10307,79,85,570,126,444
E05002791,Balsham,South Cambridgeshire,4682,4377,25,30,250,49,201
E05002792,Bar Hill,South Cambridgeshire,5048,4420,56,110,462,140,322
E05002793,Barton,South Cambridgeshire,2506,2141,46,46,273,62,211
E05002794,Bassingbourn,South Cambridgeshire,5088,4688,57,56,287,59,228
E05002795,Bourn,South Cambridgeshire,10334,8617,173,322,1222,575,647
E05002796,Caldecote,South Cambridgeshire,2478,2193,33,44,208,58,150
E05002797,Comberton,South Cambridgeshire,2346,2094,20,32,200,60,140
E05002798,Cottenham,South Cambridgeshire,8070,7306,73,123,568,166,402
E05002799,Duxford,South Cambridgeshire,2808,2603,17,29,159,50,109
E05002800,Fowlmere and Foxton,South Cambridgeshire,2438,2277,24,11,126,15,111
E05002801,Fulbourn,South Cambridgeshire,4673,3881,106,161,525,202,323
E05002802,Gamlingay,South Cambridgeshire,4900,4632,16,38,214,49,165
E05002803,Girton,South Cambridgeshire,4559,3734,124,123,578,144,434
E05002804,Hardwick,South Cambridgeshire,2670,2417,9,28,216,59,157
E05002805,Harston and Hauxton,South Cambridgeshire,2402,2128,29,16,229,61,168
E05002806,Haslingfield and The Eversdens,South Cambridgeshire,2656,2456,12,19,169,31,138
E05002807,Histon and Impington,South Cambridgeshire,10600,9100,238,284,978,363,615
E05002808,Linton,South Cambridgeshire,4846,4540,27,33,246,40,206
E05002809,Longstanton,South Cambridgeshire,2657,2342,36,49,230,60,170
E05002810,Melbourn,South Cambridgeshire,5610,5251,24,38,297,61,236
E05002811,Meldreth,South Cambridgeshire,2551,2356,9,15,171,41,130
E05002812,Milton,South Cambridgeshire,4679,3811,145,201,522,196,326
E05002813,Orwell and Barrington,South Cambridgeshire,2329,2200,7,3,119,13,106
E05002814,Papworth and Elsworth,South Cambridgeshire,4888,4280,71,83,454,215,239
E05002815,Sawston,South Cambridgeshire,7145,6411,100,94,540,193,347
E05002816,Swavesey,South Cambridgeshire,2463,2301,16,23,123,28,95
E05002817,Teversham,South Cambridgeshire,2943,2155,113,217,458,240,218
E05002818,The Abingtons,South Cambridgeshire,2308,2050,30,30,198,71,127
E05002819,The Mordens,South Cambridgeshire,2404,2272,3,13,116,19,97
E05002820,The Shelfords and Stapleford,South Cambridgeshire,7322,6435,81,114,692,157,535
E05002821,The Wilbrahams,South Cambridgeshire,2761,2460,57,39,205,57,148
E05002822,Waterbeach,South Cambridgeshire,6014,5384,70,152,408,157,251
E05002823,Whittlesford,South Cambridgeshire,2700,2443,26,21,210,54,156
E05002824,Willingham and Over,South Cambridgeshire,6877,6436,36,57,348,102,246
,,,,,,,,,
